Name,Date,Location,Type,Region,Weather
Meow Meow,3/3/2024,The Triple Door,Theatre,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Tacoma Stars vs. Harrisburg Heat,3/3/2024,accesso ShoWare Center,Music,South,Error fetching weather
Back to Black: The Amy Winehouse Experience,3/3/2024 through 3/4/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 44. South wind 12 to 15 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Dr. Rajiv Shah,3/4/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Empty Graves,3/5/2024,Funhouse,Music,Capitol Hill / Central District,Error fetching weather
Evan Dando (of the Lemonheads),3/5/2024,The Triple Door,Music,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024,Bainbridge Island Museum of Art,Museums,West,Error fetching weather
Frond,3/5/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 44. South wind 12 to 15 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Marc E. Bassy,3/5/2024,Neumos,Music,Capitol Hill / Central District,"Rain and snow. Cloudy, with a high near 44. South wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Maria Jose Llergo,3/6/2024,The Triple Door,Music,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Shawn Phillips,3/6/2024,The Triple Door,Music,Downtown,"Rain. Cloudy. High near 46, with temperatures falling to around 44 in the afternoon. South wind around 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
